StroopEffect,age,Agreeableness,AttentionCheck,Conscientiousness,TimeofSemester,Extraversion,gender,Intrinsic,Mood,Neuroticism,NFC,Openness,Persistence,SelfEsteem,Stress,Temperatureinlab,SubjectiveTemp,SubjectiveLight,SubjectiveSpace,YearinCollege
.401955957081127,21,7,1,7,.303030303,4,3,2.666666667,5,3.5,3.5,5.5,101.9999949,5,2.75,68,70,3,4,4
-.0478452851192841,23,5.5,0,3,.253521127,2,2,2.2,4,3.5,3,4.5,139.9999938,2,3.75,70, ,5,2,4
.392803173819661,21,5.5,1,4.5,.85915493,6.5,2,2.733333333,6,1,2.833333333,4.5,91.99999825,6,2.5,76,80,6,4,4
.840899429936312,21,4.5,1,6,.197183099,3,2,2.733333333,5,2.5,3,5,110.9999983,6,2.5,75,80,5,4,4
.0855020362800991,21,4,1,6,.253521127,2,2,2.933333333,4.5,2.5,2.833333333,4,238.9999993,3,2.75,75,80,5,4,4
.710648199052491,21,5.5,0,7,.281690141,4,2,3.733333333,6.5,2,3.333333333,6,121.0000031,6,1.5,74,80,5,4,4
.52777663087004,22,3.5,1,5,.794392523,5,2,3.6,4,2.5,3.666666667,6,99.00000617,6,3.25,73,80,6,2,4
.228941650664654, ,3,0,5,.76056338,3,2,2.4,4.5,4,2.333333333,5,203.9999993,2,2.75, ,80,6,4,4
-.199126446386053,30,4,1,4,.186046512,4,2,2.133333333,5,4,2.833333333,4,90.99999613,7,1,73,79,5,1,4
.751643922304723,25,5.5,0,4.5,.309859155,4.5,2,3.4,6,2,3.666666667,4,237.9999978,5,2.25,74,78,5,2,4
.283774763068653,20,4.5,1,5,.079545455,3,2,2.466666667,5,3,2.166666667,5.5,180.0000056,4,2.5,70,77,5,4,4
-.416740215344294,21,5.5,0,4.5,.372727273,5.5,2,2.866666667,4.5,3.5,3.5,6.5,76.99999097,6,2.25,74,76,4,2,4
.0240262343513223,21,4.5,1,6,.524271845,2,2,2.6,6,3.5,3.166666667,6.5,218.0000044,5,2.5, ,76,6,2,4
.818264152526616,22,6,1,3.5,.929411765,6.5,2,3.333333333,7,1.5,3,7,63.00000278,6,1.5, ,76,2,2,4
.364293027950968,21,3,1,7,.327272727,3.5,2,3.6,4,6,4.333333333,6,240.000002,3,2,77,75,3,2,4
-.17209448046086,22,3.5,1,5,.568181818,5.5,2,2.933333333,5,2.5,3.833333333,4.5,137.9999983,6,3,76,75,6,3,4
-.149799646903369,23,4,1,5.5,.390909091,1.5,2,3.133333333,2.5,6,3.833333333,6,129.0000038,3,3,76,75,3,3,4
.700094557378665,22,4,0,5,.605633803,3.5,2,2.466666667,4,3.5,3.166666667,4,187.9999981,5,2.75,75,75,5,3,4
.187710963188877,21,5,0,6,.38028169,2.5,2,2.733333333,6,4.5,3.166666667,6,241.0000042,3,2.75,74,75,5,4,4
.908855338739723,21,3.5,0,5.5,.197183099,5,2,2.6,5.5,3,2.833333333,3.5,157.0000059,4,2.75,72,75,5,3,4
-.505164618025582,21,4,0,5,.045454545,4,2,2.866666667,4,1,3.833333333,6,175,4,2,70,75,6,2,4
.356747273006321,41,6.5,0,7,.858490566,5,2,3,1,5.5,2.833333333,6,240.000002,7,2.75,70,75,6,3,4
-.348292848383132,22,6,0,5,.849056604,7,2,3.8,6,2.5,4,5.5,110.9999977,6,2.25,68,75,4,4,4
.253471455662165,21,6,1,6,.094736842,6,2,3.266666667,6,2,4.166666667,5.5,54.00000005,7,1.75, ,75,5,2,4
.571342025295973,23,5,0,4.5,.957746479,4.5,2,2.266666667,5.5,2.5,2.5,5,76.00000582,6,2.75,72,74,5,3,4
.411238468579986,21,6.5,0,7,.094736842,7,2,3.133333333,6,2,2.833333333,5.5,15.99999242,6,2.25, ,74,4,2,4
-.222808279775099,22,5.5,1,5.5,.647727273,1,2,3.2,6,1.5,4.166666667,5.5,106.999998,7,1.75,77,73,3,2,4
.540307694483085,21,6,0,7,.216981132,6,2,3.133333333,6,2.5,3.5,4.5,64.0000049,6,2,77,72,5,4,4
.341147498173525,21,4,1,5.5,.532608696,6.5,2,3.133333333,6,2,4,4.5,170.9999941,6,2,74,72,5,3,4
.576554847370313,21,3.5,1,5.5,.463157895,5.5,2,2.866666667,3,5,3.166666667,4,90.00000281,5,4.25,74,72,6,3,4
.253145228000277,21,2.5,1,6.5,.352112676,2,2,2.2,4,4,3.166666667,2.5,91.99999825,6,3.25,74,72,6,3,4
.664989276271466,21,5,1,5.5,.104651163,5.5,2,2.666666667,6,3,3.333333333,6,76.00000645,5,3,73,72,5,4,4
-.135072365773394,22,4,1,6.5,.661971831,4,2,2.933333333,7,3.5,3.833333333,6,128.0000016,5,3,73,72,6,2,4
.223261459252555,20,6.5, ,4,.267605634,6,2,3.133333333,6,3,3.666666667,4.5,175.0000032,6,2,72,72,6,3,4
.402061374871981,21,3.5,1,4.5,.579545455,3.5,2,2.666666667,5,6.5,2.333333333,5.5,77.99999309,1,3.25,72,72,6,3,4
.0204295225631567,25,5,0,6.5,.957746479,4,2,2.733333333,4.5,3.5,2.833333333,6.5,234.999999,6,2.25,72,72,6,2,4
.272245146369236,21,4.5,1,7,.034090909,2,2,3.2,4.5,3,3.166666667,6,240.000002,5,3.75,70,72,5,3,4
.3201685530009,21,6.5,1,7,1,4,2,2.6,4,6,2.666666667,4.5,112.0000004,2,2.75,73,71.6,3,3,4
.249496947486531,22,4,0,6,.85915493,3.5,2,3.066666667,6,2.5,3.833333333,5,83.99999826,7,1.25,76,71,6,4,4
.533441802167818,21,4,1,5.5,.150943396,4,2,2.866666667,5.5,3,3,5.5,205.0000014,2,2.75,77,70,6,2,4
.425939983930942,21,5.5,0,4,.887323944,2.5,2,2.6,5,4.5,2.5,4,240.9999954,5,2.25,75,70,4,4,4
.536861405454397,24,4.5,0,4.5,.746478873,6,2,3,5.5,3,3.166666667,6,176.9999986,5,2.75,73,70,4,2,4
.0430572831218347,21,4.5,1,6,.602272727,2.5,2,2.933333333,5.5,4,3.666666667,4.5,110,5,2.75,71,70,6,4,4
